Price,Beds,Baths,Garage,Size_sqm,Province
5250000.0,5.0,4.0,4.0,820.0,Eastern Cape
575000.0,5.0,2.0,3.0,325.0,Eastern Cape
1200000.0,3.0,2.0,2.0,200.0,Eastern Cape
1395000.0,3.0,2.0,6.0,320.0,Eastern Cape
1395000.0,3.0,2.0,2.0,858.0,Eastern Cape
580000.0,2.0,1.0,1.0,190.0,Eastern Cape
1050000.0,3.0,2.0,6.0,588.0,Eastern Cape
950000.0,2.0,1.0,2.0,426.0,Eastern Cape
1600000.0,3.0,1.0,2.0,1192.0,Eastern Cape
995980.0,2.0,1.0,2.0,108.788505150775,Eastern Cape
920000.0,2.0,2.0,2.0,278.0,Eastern Cape
2486000.0,3.0,2.0,4.0,440.0,Eastern Cape
2500000.0,4.0,2.0,0.0,738.0,Eastern Cape
1500000.0,5.0,2.0,3.0,163.84140015478474,Eastern Cape
550000.0,2.0,1.0,0.0,60.075180056754405,Eastern Cape
550000.0,2.0,2.0,1.0,300.0,Eastern Cape
650000.0,6.0,1.0,1.0,300.0,Eastern Cape
850000.0,4.0,2.0,2.0,384.0,Eastern Cape
695000.0,2.0,2.0,1.0,75.91318207171693,Eastern Cape
750000.0,2.0,1.0,2.0,169.0,Eastern Cape
550000.0,2.0,1.0,0.0,94.0,Eastern Cape
695000.0,2.0,1.0,0.0,75.91318207171693,Eastern Cape
1050000.0,3.0,2.0,2.0,114.68898010834931,Eastern Cape
1000000.0,4.0,3.0,6.0,109.22760010318983,Eastern Cape
1595000.0,3.0,2.0,2.0,685.0,Eastern Cape
1725000.0,3.0,2.0,3.0,534.0,Eastern Cape
1399000.0,4.0,3.0,2.0,898.0,Eastern Cape
1395000.0,2.0,1.0,2.0,522.0,Eastern Cape
3300000.0,4.0,4.0,5.0,1109.0,Eastern Cape
750000.0,3.0,1.0,0.0,345.0,Eastern Cape
845000.0,2.0,1.0,1.0,92.2973220871954,Eastern Cape
2350000.0,3.0,2.0,1.0,256.6848602424961,Eastern Cape
4080000.0,3.0,3.0,2.0,771.0,Eastern Cape
600000.0,7.0,2.0,5.0,500.0,Eastern Cape
620000.0,2.0,1.0,1.0,67.72111206397769,Eastern Cape
1100000.0,3.0,1.0,1.0,499.0,Eastern Cape
1650000.0,3.0,2.0,1.0,1063.0,Eastern Cape
1999999.0,4.0,2.0,8.0,1349.0,Eastern Cape
1685000.0,2.0,2.0,1.0,500.0,Eastern Cape
550000.0,4.0,1.0,2.0,972.0,Eastern Cape
2595000.0,4.0,3.0,3.0,2012.0,Eastern Cape
3500000.0,3.0,3.0,8.0,1267.0,Eastern Cape
1250000.0,2.0,1.0,4.0,243.0,Eastern Cape
2835000.0,3.0,2.0,5.0,1784.0,Eastern Cape
1650000.0,2.0,1.0,2.0,180.2255401702632,Eastern Cape
2100000.0,2.0,1.0,3.0,375.0,Eastern Cape
650000.0,3.0,1.0,2.0,325.0,Eastern Cape
985000.0,3.0,1.0,1.0,673.0,Eastern Cape
830000.0,2.0,1.0,2.0,301.0,Eastern Cape
2350000.0,3.0,2.0,2.0,256.6848602424961,Eastern Cape
4950000.0,5.0,4.0,4.0,540.6766205107897,Eastern Cape
1460000.0,3.0,2.0,2.0,300.0,Eastern Cape
1450000.0,2.0,1.0,1.0,74.0,Eastern Cape
650000.0,2.0,2.0,0.0,70.99794006707339,Eastern Cape
980000.0,1.0,1.0,1.0,107.04304810112603,Eastern Cape
1390000.0,4.0,3.0,2.0,744.0,Eastern Cape
830000.0,2.0,1.0,1.0,90.65890808564755,Eastern Cape
1650000.0,3.0,2.0,1.0,1009.0,Eastern Cape
1799000.0,3.0,2.0,2.0,196.5004525856385,Eastern Cape
1000000.0,2.0,1.0,3.0,309.0,Eastern Cape
1999000.0,4.0,2.0,4.0,1565.0,Eastern Cape
1200000.0,3.0,2.0,0.0,780.0,Eastern Cape
950000.0,3.0,2.0,2.0,253.0,Eastern Cape
1550000.0,4.0,2.0,4.0,340.0,Eastern Cape
850000.0,2.0,2.0,0.0,160.0,Eastern Cape
850000.0,2.0,1.0,1.0,92.84346008771135,Eastern Cape
1695000.0,3.0,2.0,3.0,378.0,Eastern Cape
1350000.0,4.0,2.0,0.0,2232.0,Eastern Cape
2395000.0,4.0,3.0,2.0,382.0,Eastern Cape
1650000.0,3.0,2.0,2.0,805.0,Eastern Cape
700000.0,3.0,2.0,2.0,267.0,Eastern Cape
2195000.0,3.0,2.0,4.0,630.0,Eastern Cape
900000.0,3.0,1.0,1.0,96.0,Eastern Cape
1280000.0,3.0,2.0,1.0,412.0,Eastern Cape
2200000.0,2.0,2.0,1.0,240.30072022701762,Eastern Cape
850000.0,2.0,1.0,1.0,242.0,Eastern Cape
1650000.0,3.0,3.0,5.0,1483.0,Eastern Cape
680000.0,2.0,1.0,1.0,327.0,Eastern Cape
590000.0,2.0,1.0,2.0,59.0,Eastern Cape
1050000.0,3.0,1.0,2.0,294.0,Eastern Cape
550000.0,2.0,1.0,1.0,67.0,Eastern Cape
620000.0,2.0,1.0,0.0,67.72111206397769,Eastern Cape
1995000.0,3.0,2.0,1.0,620.0,Eastern Cape
1600000.0,2.0,2.0,1.0,174.76416016510373,Eastern Cape
825000.0,2.0,1.0,1.0,90.1127700851316,Eastern Cape
529000.0,2.0,1.0,1.0,200.0,Eastern Cape
850000.0,3.0,1.0,3.0,1348.0,Eastern Cape
2499000.0,5.0,3.0,2.0,1319.0,Eastern Cape
750000.0,3.0,1.0,2.0,81.92070007739237,Eastern Cape
690000.0,0.0,0.0,0.0,400.0,Eastern Cape
1500000.0,3.0,2.0,2.0,163.84140015478474,Eastern Cape
1375000.0,3.0,2.0,6.0,1032.0,Eastern Cape
1080000.0,2.0,1.0,0.0,117.96580811144501,Eastern Cape
650000.0,5.0,2.0,2.0,70.99794006707339,Eastern Cape
1140000.0,3.0,2.0,3.0,868.0,Eastern Cape
2900000.0,3.0,2.0,0.0,1771.0,Eastern Cape
900000.0,2.0,2.0,0.0,98.30484009287085,Eastern Cape
1399000.0,3.0,2.0,3.0,979.0,Eastern Cape
2995000.0,4.0,3.0,4.0,736.0,Eastern Cape
895000.0,2.0,1.0,0.0,97.7587020923549,Eastern Cape
780000.0,0.0,0.0,0.0,605.0,Eastern Cape
765000.0,5.0,4.0,3.0,1471.0,Eastern Cape
1195000.0,2.0,2.0,3.0,130.52698212331185,Eastern Cape
1550000.0,3.0,2.0,0.0,103.0,Eastern Cape
1300000.0,5.0,2.0,0.0,2024.0,Eastern Cape
1595000.0,3.0,2.0,3.0,288.0,Eastern Cape
699000.0,3.0,1.0,1.0,464.0,Eastern Cape
1549000.0,3.0,2.0,2.0,169.19355255984104,Eastern Cape
650000.0,7.0,1.0,6.0,300.0,Eastern Cape
830000.0,6.0,3.0,5.0,489.0,Eastern Cape
1000000.0,3.0,1.0,2.0,450.0,Eastern Cape
860000.0,2.0,1.0,1.0,127.0,Eastern Cape
2495000.0,3.0,2.0,2.0,560.0,Eastern Cape
620000.0,2.0,1.0,2.0,67.72111206397769,Eastern Cape
1250000.0,3.0,1.0,5.0,136.53450012898728,Eastern Cape
960000.0,5.0,2.0,7.0,400.0,Eastern Cape
1950000.0,4.0,3.0,2.0,991.0,Eastern Cape
810000.0,3.0,2.0,0.0,300.0,Eastern Cape
2700000.0,4.0,2.0,4.0,1356.0,Eastern Cape
999000.0,3.0,2.0,2.0,109.11837250308663,Eastern Cape
630000.0,2.0,1.0,2.0,68.81338806500959,Eastern Cape
1450000.0,3.0,2.0,3.0,158.38002014962524,Eastern Cape
960000.0,4.0,2.0,2.0,104.85849609906224,Eastern Cape
985000.0,3.0,2.0,7.0,835.0,Eastern Cape
1495000.0,2.0,1.0,2.0,1421.0,Eastern Cape
990000.0,3.0,1.0,2.0,464.0,Eastern Cape
625000.0,2.0,1.0,1.0,367.0,Eastern Cape
800000.0,3.0,1.0,2.0,87.38208008255187,Eastern Cape
720000.0,2.0,1.0,1.0,78.64387207429668,Eastern Cape
1290000.0,2.0,1.0,2.0,246.0,Eastern Cape
830000.0,3.0,1.0,1.0,90.65890808564755,Eastern Cape
2010000.0,3.0,1.0,2.0,1289.0,Eastern Cape
799000.0,2.0,1.0,1.0,363.0,Eastern Cape
850000.0,3.0,1.0,5.0,400.0,Eastern Cape
1799000.0,4.0,2.0,2.0,925.0,Eastern Cape
1550000.0,4.0,2.0,0.0,408.0,Eastern Cape
1800000.0,4.0,2.0,4.0,1743.0,Eastern Cape
2600000.0,3.0,2.0,0.0,800.0,Eastern Cape
695000.0,2.0,1.0,2.0,75.91318207171693,Eastern Cape
2350000.0,4.0,3.0,4.0,256.6848602424961,Eastern Cape
2350000.0,4.0,3.0,5.0,1007.0,Eastern Cape
900000.0,3.0,2.0,3.0,98.30484009287085,Eastern Cape
850000.0,2.0,2.0,0.0,177.0,Eastern Cape
1699000.0,3.0,2.0,4.0,800.0,Eastern Cape
730000.0,2.0,2.0,3.0,146.0,Eastern Cape
1600000.0,6.0,2.0,7.0,400.0,Eastern Cape
1470000.0,3.0,2.0,3.0,260.0,Eastern Cape
1595000.0,3.0,3.0,1.0,129.0,Eastern Cape
1425000.0,2.0,2.0,2.0,155.6493301470455,Eastern Cape
2400000.0,3.0,2.0,4.0,262.14624024765556,Eastern Cape
1120000.0,2.0,2.0,2.0,122.3349121155726,Eastern Cape
1295000.0,2.0,1.0,1.0,224.0,Eastern Cape
2650000.0,4.0,2.0,4.0,1012.0,Eastern Cape
890000.0,2.0,2.0,1.0,97.21256409183894,Eastern Cape
1129000.0,3.0,2.0,1.0,123.31796051650132,Eastern Cape
2300000.0,3.0,2.0,2.0,251.2234802373366,Eastern Cape
995000.0,3.0,1.0,1.0,108.68146210267388,Eastern Cape
850000.0,4.0,3.0,3.0,92.84346008771135,Eastern Cape
980000.0,2.0,1.0,2.0,106.0,Eastern Cape
1000000.0,3.0,2.0,2.0,109.22760010318983,Eastern Cape
1799000.0,4.0,4.0,6.0,982.0,Eastern Cape
755000.0,2.0,1.0,2.0,400.0,Eastern Cape
2400000.0,3.0,2.0,2.0,262.14624024765556,Eastern Cape
1185000.0,5.0,3.0,3.0,1838.0,Eastern Cape
1750000.0,2.0,2.0,2.0,191.1483001805822,Eastern Cape
1300000.0,3.0,1.0,4.0,437.0,Eastern Cape
780000.0,3.0,1.0,2.0,192.0,Eastern Cape
1350000.0,4.0,2.0,2.0,1044.0,Eastern Cape
3950000.0,5.0,4.0,2.0,820.0,Eastern Cape
2500000.0,7.0,4.0,6.0,1017.0,Eastern Cape
695000.0,5.0,2.0,5.0,325.0,Eastern Cape
785000.0,2.0,1.0,2.0,85.74366608100401,Eastern Cape
2650000.0,4.0,4.0,7.0,1862.0,Eastern Cape
2450000.0,3.0,2.0,4.0,437.0,Eastern Cape
1390000.0,3.0,2.0,1.0,151.82636414343386,Eastern Cape
2100000.0,3.0,3.0,2.0,836.0,Eastern Cape
895000.0,3.0,1.0,3.0,394.0,Eastern Cape
765000.0,3.0,1.0,2.0,83.55911407894021,Eastern Cape
1200000.0,3.0,2.0,7.0,1072.0,Eastern Cape
1299000.0,2.0,1.0,4.0,141.88665253404358,Eastern Cape
930000.0,3.0,1.0,2.0,260.0,Eastern Cape
1850000.0,3.0,1.0,2.0,718.0,Eastern Cape
1075000.0,3.0,2.0,2.0,117.41967011092906,Eastern Cape
1875000.0,3.0,2.0,4.0,714.0,Eastern Cape
1285000.0,4.0,2.0,2.0,564.0,Eastern Cape
950000.0,3.0,2.0,1.0,103.76622009803033,Eastern Cape
600000.0,2.0,1.0,3.0,65.53656006191389,Eastern Cape
1700000.0,3.0,2.0,2.0,113.0,Eastern Cape
850000.0,3.0,1.0,2.0,601.0,Eastern Cape
2240000.0,3.0,2.0,2.0,244.6698242311452,Eastern Cape
580000.0,2.0,1.0,1.0,63.3520080598501,Eastern Cape
790000.0,2.0,1.0,2.0,86.28980408151996,Eastern Cape
1475000.0,3.0,2.0,2.0,618.0,Eastern Cape
920000.0,4.0,4.0,2.0,559.0,Eastern Cape
620000.0,2.0,2.0,2.0,67.72111206397769,Eastern Cape
850000.0,3.0,1.0,0.0,515.0,Eastern Cape
3500000.0,6.0,4.0,2.0,1079.0,Eastern Cape
670000.0,2.0,1.0,3.0,73.18249206913718,Eastern Cape
700000.0,0.0,1.0,0.0,395.0,Eastern Cape
780000.0,2.0,1.0,1.0,85.19752808048807,Eastern Cape
599000.0,3.0,1.0,1.0,65.4273324618107,Eastern Cape
690000.0,4.0,2.0,3.0,75.36704407120098,Eastern Cape
1290000.0,3.0,2.0,1.0,422.0,Eastern Cape
1480000.0,6.0,4.0,5.0,1024.0,Eastern Cape
2180000.0,3.0,3.0,3.0,1378.0,Eastern Cape
1890000.0,4.0,2.0,2.0,1410.0,Eastern Cape
550000.0,3.0,1.0,2.0,1388.0,Eastern Cape
3700000.0,3.0,2.0,2.0,805.0,Eastern Cape
1300000.0,3.0,2.0,2.0,465.0,Eastern Cape
1450000.0,3.0,2.0,4.0,1137.0,Eastern Cape
885000.0,1.0,1.0,2.0,96.66642609132299,Eastern Cape
2500000.0,4.0,2.0,2.0,622.0,Eastern Cape
730000.0,2.0,1.0,1.0,79.73614807532857,Eastern Cape
780000.0,3.0,2.0,1.0,300.0,Eastern Cape
2450000.0,3.0,2.0,2.0,1009.0,Eastern Cape
2330000.0,4.0,2.0,3.0,773.0,Eastern Cape
3250000.0,4.0,4.0,2.0,1523.0,Eastern Cape
1400000.0,3.0,1.0,3.0,464.0,Eastern Cape
550000.0,2.0,1.0,0.0,387.0,Eastern Cape
1250000.0,4.0,3.0,4.0,136.53450012898728,Eastern Cape
1099000.0,3.0,2.0,1.0,565.0,Eastern Cape
1799000.0,3.0,3.0,2.0,1000.0,Eastern Cape
1695000.0,3.0,2.0,2.0,758.0,Eastern Cape
780000.0,2.0,1.0,2.0,85.19752808048807,Eastern Cape
890000.0,2.0,2.0,2.0,72.0,Eastern Cape
2400000.0,2.0,2.0,1.0,262.14624024765556,Eastern Cape
2395000.0,4.0,3.0,3.0,512.0,Eastern Cape
1295000.0,2.0,2.0,0.0,296.0,Eastern Cape
1295000.0,4.0,2.0,0.0,141.44974213363082,Eastern Cape
3200000.0,3.0,3.0,4.0,374.0,Eastern Cape
695000.0,3.0,3.0,0.0,75.91318207171693,Eastern Cape
1150000.0,2.0,1.0,1.0,132.0,Eastern Cape
1195000.0,3.0,2.0,1.0,327.0,Eastern Cape
2650000.0,5.0,4.0,4.0,1029.0,Eastern Cape
2200000.0,4.0,2.0,6.0,1125.0,Eastern Cape
1980000.0,4.0,3.0,1.0,1674.0,Eastern Cape
1350000.0,3.0,2.0,5.0,479.0,Eastern Cape
1160000.0,2.0,1.0,3.0,126.7040161197002,Eastern Cape
699000.0,3.0,1.0,4.0,377.0,Eastern Cape
680000.0,3.0,2.0,4.0,916.0,Eastern Cape
2310000.0,3.0,3.0,1.0,252.3157562383685,Eastern Cape
