Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
10 Bedroom House,4900000.0,10.0,10.0,6.0,1489.0,,
2 Bedroom Townhouse,700000.0,2.0,1.0,1.0,,,
4 Bedroom House,1250000.0,4.0,1.0,1.0,,,
3 Bedroom House,2100000.0,3.0,3.0,2.0,1175.0,,
4 Bedroom House,2500000.0,4.0,3.0,7.0,1601.0,,
3 Bedroom House,650000.0,3.0,2.0,1.0,589.0,Stomswawel Avenue,
3 Bedroom House,5395000.0,3.0,3.0,4.0,892.0,,
1 Bedroom Apartment,685000.0,1.0,1.0,1.0,,,
7 Bedroom House,6998000.0,7.0,55.0,6.0,2495.0,,
4 Bedroom House,500000.0,4.0,2.0,1.0,600.0,,
9 Bedroom Apartment,2940000.0,9.0,6.0,6.0,,,
5 Bedroom House,6130000.0,5.0,55.0,5.0,840.0,,
3 Bedroom Townhouse,695000.0,3.0,1.0,1.0,,,
2 Bedroom Apartment,900000.0,2.0,1.0,1.0,,,
3 Bedroom Townhouse,845000.0,3.0,1.0,1.0,,,
6 Bedroom House,1590000.0,6.0,3.0,4.0,1601.0,,
3 Bedroom Apartment,740000.0,3.0,1.0,1.0,,,
2 Bedroom Townhouse,670000.0,2.0,1.0,1.0,297.0,,
2 Bedroom Apartment,460000.0,2.0,1.0,,,2 Summer Rain Estate Drive,
2 Bedroom Apartment,1650000.0,2.0,2.0,2.0,116.0,The One Secunda,
4 Bedroom House,1600000.0,4.0,3.0,1.0,880.0,,
3 Bedroom House,1365000.0,3.0,1.0,4.0,,,
2 Bedroom House,2830000.0,2.0,1.0,,140.0,,
3 Bedroom Apartment,740000.0,3.0,1.0,1.0,,,
8 Bedroom Apartment,2470000.0,8.0,4.0,4.0,,,
2 Bedroom Apartment,885500.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,963081.0,2.0,1.0,1.0,,,
3 Bedroom House,2570000.0,3.0,2.0,2.0,1467.0,,
3 Bedroom House,1600000.0,3.0,2.0,2.0,329.0,,
4 Bedroom House,1985000.0,4.0,2.0,5.0,605.0,,
4 Bedroom House,2090000.0,4.0,25.0,11.0,1134.0,,
House,1850000.0,,,,1565.0,,
5 Bedroom House,9900000.0,5.0,5.0,9.0,1383.0,23 Matumi Drive,
5 Bedroom House,8000000.0,5.0,5.0,5.0,600.0,"35 Elawini Lifestyle Estate, 35 Kabeljou",
3 Bedroom House,1900000.0,3.0,2.0,6.0,1214.0,367 Rhino Street,
3 Bedroom House,1799000.0,3.0,2.0,2.0,283.0,1 Heuwel West Ext 18,
2 Bedroom House,1400000.0,2.0,2.0,1.0,96.0,,
3 Bedroom House,880000.0,3.0,2.0,2.0,475.0,,
3 Bedroom Townhouse,1350000.0,3.0,2.0,2.0,,,
3 Bedroom House,3200000.0,3.0,2.0,6.0,,,
4 Bedroom House,1380000.0,4.0,2.0,4.0,1000.0,134 Gompou Crescent,
8 Bedroom House,3900000.0,8.0,6.0,6.0,,,
2 Bedroom House,989900.0,2.0,1.0,2.0,1062.0,59 Gazelle Street,
3 Bedroom House,850000.0,3.0,3.0,4.0,263.0,,
3 Bedroom House,500000.0,3.0,2.0,1.0,,,
3 Bedroom House,750000.0,3.0,1.0,,,,
2 Bedroom House,978500.0,2.0,,,309.0,Ingwenya Street,
3 Bedroom House,3200000.0,3.0,2.0,6.0,,,
2 Bedroom House,890000.0,2.0,2.0,3.0,,,
4 Bedroom House,1550000.0,4.0,3.0,4.0,2855.0,,
3 Bedroom House,1890000.0,3.0,25.0,3.0,1589.0,,
5 Bedroom House,950000.0,5.0,2.0,7.0,793.0,,
3 Bedroom House,1350000.0,3.0,3.0,2.0,,,
4 Bedroom House,2550000.0,4.0,35.0,4.0,1400.0,,
4 Bedroom House,4200000.0,4.0,3.0,,2162.0,,
3 Bedroom House,700000.0,3.0,2.0,2.0,829.0,,
6 Bedroom House,3500000.0,6.0,5.0,9.0,3900.0,,
3 Bedroom House,1125000.0,3.0,2.0,2.0,,1 Secunda,
2 Bedroom House,1580000.0,2.0,2.0,2.0,1886.0,"452 Kranspoort Vakansiedorp, 0 452 Karp Street Kranspoort",
3 Bedroom Townhouse,790000.0,3.0,1.0,1.0,,,
3 Bedroom House,820000.0,3.0,1.0,,855.0,,
3 Bedroom House,1269000.0,3.0,2.0,1.0,1000.0,,
3 Bedroom Townhouse,930000.0,3.0,2.0,2.0,,,
3 Bedroom Townhouse,1520000.0,3.0,25.0,2.0,,,
2 Bedroom House,1650000.0,2.0,2.0,2.0,1580.0,,
2 Bedroom Townhouse,650000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,1000000.0,2.0,15.0,1.0,,,
6 Bedroom House,3750000.0,6.0,4.0,6.0,2105.0,,
3 Bedroom Townhouse,950000.0,3.0,3.0,4.0,991.0,,
3 Bedroom House,820000.0,3.0,1.0,,855.0,,
4 Bedroom House,2100000.0,4.0,3.0,2.0,,,
5 Bedroom House,3190000.0,5.0,3.0,9.0,573.0,,
5 Bedroom House,7100000.0,5.0,4.0,2.0,1090.0,,
2 Bedroom House,640000.0,2.0,1.0,,315.0,,
4 Bedroom House,1785000.0,4.0,3.0,4.0,1319.0,,
4 Bedroom House,2430000.0,4.0,35.0,6.0,339.0,,
3 Bedroom House,1200000.0,3.0,1.0,4.0,260.0,,
4 Bedroom House,1404000.0,4.0,2.0,2.0,1241.0,,
1 Bedroom House,1200000.0,1.0,1.0,2.0,,,
3 Bedroom House,950000.0,3.0,2.0,,300.0,,
3 Bedroom House,5300000.0,3.0,3.0,5.0,1530.0,,
3 Bedroom House,1020000.0,3.0,15.0,3.0,980.0,,
3 Bedroom Townhouse,1298000.0,3.0,2.0,2.0,,,
3 Bedroom House,7600000.0,3.0,35.0,7.0,6.0,53 Shiloh Drive,
4 Bedroom House,2150000.0,4.0,25.0,7.0,,,
6 Bedroom House,1978000.0,6.0,5.0,2.0,1821.0,,
6 Bedroom House,1978000.0,6.0,5.0,2.0,1821.0,,
4 Bedroom House,2268000.0,4.0,3.0,,1455.0,,
3 Bedroom House,1260000.0,3.0,15.0,3.0,1377.0,,
3 Bedroom House,4200000.0,3.0,2.0,4.0,2924.0,,
3 Bedroom House,1570000.0,3.0,2.0,6.0,2855.0,,
2 Bedroom Apartment,1400000.0,2.0,2.0,2.0,205.0,,
5 Bedroom House,4900000.0,5.0,2.0,,86593.0,,
2 Bedroom Townhouse,750000.0,2.0,2.0,1.0,204.0,,
6 Bedroom House,3147000.0,6.0,5.0,4.0,1715.0,,
2 Bedroom Apartment,849000.0,2.0,2.0,1.0,,,
2 Bedroom House,480000.0,2.0,2.0,1.0,929.0,,
2 Bedroom House,450000.0,2.0,2.0,1.0,745.0,,
7 Bedroom Apartment,3450000.0,7.0,5.0,6.0,945.0,,
House,1580000.0,,,,559.0,,
3 Bedroom House,1475000.0,3.0,2.0,2.0,1189.0,,
3 Bedroom House,900000.0,3.0,1.0,1.0,225.0,,
4 Bedroom House,4500000.0,4.0,4.0,3.0,1427.0,Sabi River Eco Estate,
6 Bedroom House,4500000.0,6.0,6.0,5.0,,,
2 Bedroom House,1300000.0,2.0,1.0,1.0,227.0,,
Apartment,300000.0,,,,,,
2 Bedroom House,2295000.0,2.0,2.0,1.0,4968.0,,
3 Bedroom House,800000.0,3.0,1.0,2.0,1951.0,,
3 Bedroom House,765000.0,3.0,1.0,1.0,,,
4 Bedroom House,2200000.0,4.0,3.0,2.0,936.0,,
3 Bedroom House,520000.0,3.0,1.0,1.0,,,
9 Bedroom House,6400000.0,9.0,6.0,4.0,1413.0,,
2 Bedroom Apartment,849000.0,2.0,2.0,1.0,,,
2 Bedroom Apartment,815000.0,2.0,1.0,2.0,,,
2 Bedroom Apartment,640000.0,2.0,1.0,2.0,,,
3 Bedroom House,975000.0,3.0,2.0,1.0,303.0,,
4 Bedroom House,2720000.0,4.0,25.0,4.0,,,
3 Bedroom House,1470000.0,3.0,2.0,5.0,882.0,,
3 Bedroom House,5950000.0,3.0,4.0,2.0,875.0,946 Highland Gate,
3 Bedroom House,1450000.0,3.0,2.0,2.0,1040.0,,
3 Bedroom House,850000.0,3.0,2.0,1.0,501.0,,
3 Bedroom House,2255000.0,3.0,2.0,1.0,990.0,6 Finsbury Street,
2 Bedroom House,800000.0,2.0,1.0,2.0,200.0,,
6 Bedroom House,4650000.0,6.0,6.0,6.0,2058.0,,
3 Bedroom House,1990000.0,3.0,2.0,4.0,400.0,,
2 Bedroom House,690000.0,2.0,1.0,1.0,,,
3 Bedroom House,860000.0,3.0,1.0,,,,
5 Bedroom House,3895000.0,5.0,4.0,,1388.0,279 Blue Crane Drive,
3 Bedroom Apartment,660000.0,3.0,1.0,1.0,,,
3 Bedroom House,959000.0,3.0,1.0,1.0,,,
3 Bedroom Townhouse,1399000.0,3.0,2.0,2.0,140.0,,
3 Bedroom Townhouse,1495000.0,3.0,2.0,3.0,435.0,,
