Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
4 Bedroom Townhouse,1399000.0,4.0,25.0,1.0,,,
2 Bedroom Townhouse,890000.0,2.0,1.0,4.0,,"1 Blouvalk Close, Celtisdal, Centurion",
3 Bedroom House,1450000.0,3.0,25.0,4.0,750.0,,
1 Bedroom House,330000.0,1.0,1.0,3.0,253.0,,
4 Bedroom House,1790000.0,4.0,2.0,1.0,992.0,,
2 Bedroom Apartment,799000.0,2.0,2.0,2.0,76.0,999 Smith Avenue,
3 Bedroom House,995000.0,3.0,1.0,6.0,368.0,,
2 Bedroom Apartment,830000.0,2.0,1.0,1.0,,10 Dexter Road,
5 Bedroom House,8500000.0,5.0,4.0,6.0,1050.0,,
2 Bedroom Townhouse,1300000.0,2.0,2.0,2.0,306.0,,
3 Bedroom House,1290000.0,3.0,2.0,3.0,318.0,,
2 Bedroom Townhouse,890000.0,2.0,1.0,4.0,,"1 Blouvalk Close, Celtisdal, Centurion",
2 Bedroom Townhouse,750000.0,2.0,1.0,2.0,,,
2 Bedroom House,750000.0,2.0,1.0,8.0,312.0,,
3 Bedroom House,619000.0,3.0,1.0,2.0,200.0,6586 Koekoelemao Street,
4 Bedroom House,3499000.0,4.0,4.0,6.0,1961.0,25 Barry Hertzog Drive,
2 Bedroom Apartment,839000.0,2.0,2.0,2.0,,"50 San Pablo Complex, 30 Pretorius Street",
3 Bedroom House,2695000.0,3.0,2.0,4.0,1229.0,748 Lassie,
2 Bedroom Townhouse,800000.0,2.0,1.0,,2984.0,,
3 Bedroom House,2195000.0,3.0,2.0,4.0,500.0,,
3 Bedroom House,850000.0,3.0,2.0,1.0,308.0,,
3 Bedroom House,1399999.0,3.0,25.0,6.0,1507.0,238 Ontdekkers Road,
5 Bedroom House,5999000.0,5.0,5.0,8.0,864.0,"Featherbrooke Estate, 801 Plover's Nest",
3 Bedroom House,1495000.0,3.0,2.0,4.0,265.0,"23 Hillside, 2 Boswell Street",
2 Bedroom Apartment,650000.0,2.0,1.0,1.0,,,
1 Bedroom Apartment,449000.0,1.0,1.0,1.0,,"165 Ss Sunbird Estate, 29 Honeydew Road",
1 Bedroom Apartment,870000.0,1.0,1.0,1.0,,1233 Prospect Street,
3 Bedroom Apartment,790000.0,3.0,1.0,4.0,,"9999 Park View, 1 Stellenberg",
4 Bedroom House,3800000.0,4.0,4.0,4.0,675.0,"The Hills Game Reserve Estate, 1x1 Eland Street",
2 Bedroom Townhouse,550000.0,2.0,1.0,1.0,72.0,"28 Ss Village Three Stone Arch Estate, 8 Mowgli Road",
2 Bedroom Apartment,550000.0,2.0,1.0,1.0,,"36 Ss Mindalore Villas, 17 Hoofrif Road",
1 Bedroom Apartment,870000.0,1.0,1.0,1.0,,1233 Prospect Street,
3 Bedroom House,750000.0,3.0,1.0,,548.0,,
3 Bedroom House,880000.0,3.0,2.0,1.0,,,
4 Bedroom House,3800000.0,4.0,25.0,4.0,1008.0,,
3 Bedroom House,1825000.0,3.0,2.0,4.0,714.0,12 Delta Road,
3 Bedroom House,850000.0,3.0,2.0,,209.0,,
2 Bedroom Townhouse,899990.0,2.0,1.0,1.0,33502.0,,
2 Bedroom Apartment,750000.0,2.0,1.0,1.0,,,
3 Bedroom House,3300000.0,3.0,3.0,2.0,457.0,,
3 Bedroom Townhouse,1790000.0,3.0,25.0,4.0,,,
3 Bedroom House,619000.0,3.0,1.0,3.0,180.0,6697 Ulola Street,
3 Bedroom House,2495000.0,3.0,3.0,4.0,1290.0,,
2 Bedroom Townhouse,1500000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,1375000.0,2.0,2.0,2.0,,,
3 Bedroom Townhouse,1349000.0,3.0,2.0,3.0,,,
3 Bedroom House,1000000.0,3.0,25.0,2.0,4982.0,,
2 Bedroom Townhouse,1995000.0,2.0,1.0,3.0,,,
3 Bedroom Apartment,2000000.0,3.0,3.0,5.0,,,
4 Bedroom House,3500000.0,4.0,3.0,5.0,1983.0,,
3 Bedroom Townhouse,1790000.0,3.0,25.0,4.0,,,
5 Bedroom House,2950000.0,5.0,35.0,3.0,1551.0,,
3 Bedroom House,749000.0,3.0,2.0,1.0,450.0,,
1 Bedroom Apartment,950000.0,1.0,1.0,1.0,,,
3 Bedroom House,1800000.0,3.0,25.0,1.0,,,
3 Bedroom House,1370000.0,3.0,2.0,1.0,,,
3 Bedroom House,1625000.0,3.0,1.0,5.0,,,
3 Bedroom House,400000.0,3.0,,5.0,265.0,,
4 Bedroom House,2140000.0,4.0,3.0,8.0,991.0,,
5 Bedroom House,13000000.0,5.0,5.0,4.0,1000.0,13 Doha Tower,
3 Bedroom Townhouse,1290000.0,3.0,2.0,2.0,,,
3 Bedroom Apartment,850000.0,3.0,2.0,1.0,,Milton Heights 5 The Circus,
2 Bedroom Townhouse,980000.0,2.0,15.0,1.0,,,
3 Bedroom House,1099000.0,3.0,1.0,2.0,1136.0,,
2 Bedroom Apartment,870000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,351105.0,2.0,15.0,1.0,,,
8 Bedroom Apartment,1390000.0,8.0,3.0,2.0,,,
3 Bedroom Apartment,1670000.0,3.0,2.0,2.0,,,
5 Bedroom House,3600000.0,5.0,55.0,7.0,1454.0,,
2 Bedroom House,720000.0,2.0,1.0,5.0,495.0,158 Donnelly,
3 Bedroom Apartment,850000.0,3.0,2.0,1.0,,Milton Heights 5 The Circus,
2 Bedroom Apartment,1299900.0,2.0,2.0,2.0,,,
5 Bedroom House,1495000.0,5.0,3.0,4.0,891.0,,
2 Bedroom Apartment,1400000.0,2.0,2.0,1.0,,"Troon Gardens, 9 Atherstone Road",
2 Bedroom Townhouse,650000.0,2.0,1.0,,85102.0,48 Oranjerivier Drive,
3 Bedroom House,760000.0,3.0,2.0,3.0,341.0,855 Venture Street,
3 Bedroom Townhouse,2350000.0,3.0,25.0,4.0,,"Unit 4 Bush Willow Lane Complex, Cedar Creek Estate",
2 Bedroom House,489000.0,2.0,1.0,,190.0,6697 Ulola Street,
2 Bedroom Townhouse,1350000.0,2.0,25.0,4.0,153.0,,
3 Bedroom House,1250000.0,3.0,2.0,2.0,,,
3 Bedroom House,5700000.0,3.0,2.0,7.0,1007.0,,
2 Bedroom Townhouse,590000.0,2.0,1.0,2.0,63.0,,
4 Bedroom House,1650000.0,4.0,3.0,2.0,,,
6 Bedroom House,3350000.0,6.0,4.0,10.0,,,
3 Bedroom Townhouse,1899000.0,3.0,2.0,4.0,,,
