Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
1 Bedroom Apartment,485000.0,1.0,1.0,,,,
2 Bedroom Apartment,3000000.0,2.0,2.0,2.0,,"103 Ss Zimbali Hotel AND Resort, 5 Corkwood Drive, Unit 103 Zimbali Suites",
3 Bedroom Apartment,5899999.0,3.0,3.0,4.0,,"18 One On Seaton, 1 Seaton Boulevard",
3 Bedroom House,3700000.0,3.0,2.0,6.0,1784.0,,
2 Bedroom Apartment,699000.0,2.0,1.0,1.0,,,
5 Bedroom Apartment,8500000.0,5.0,35.0,4.0,,1 First Avenue,
3 Bedroom Apartment,3000000.0,3.0,2.0,2.0,,"70 The Shades, 23 Weaver Crescent",
4 Bedroom House,3850000.0,4.0,4.0,4.0,1647.0,,
2 Bedroom Apartment,1200000.0,2.0,2.0,1.0,,"Pasadena Court, 21 Marine Parade,south Beach",
1 Bedroom Apartment,1250000.0,1.0,1.0,1.0,,,
4 Bedroom House,2999000.0,4.0,35.0,8.0,2399.0,,
3 Bedroom Apartment,1850000.0,3.0,2.0,1.0,,,
3 Bedroom Apartment,2280000.0,3.0,2.0,2.0,,,
2 Bedroom Apartment,425000.0,2.0,1.0,1.0,,,
5 Bedroom House,2790000.0,5.0,4.0,,,,
2 Bedroom House,750000.0,2.0,2.0,2.0,,23 Jaccaranda,
3 Bedroom House,620000.0,3.0,2.0,2.0,500.0,,
1 Bedroom Apartment,700000.0,1.0,1.0,,,,
House,900000.0,,,,,,
0.5 Bedroom Apartment,330000.0,5.0,1.0,,,,
2 Bedroom Townhouse,850000.0,2.0,2.0,1.0,,,
House,3100000.0,,,,627.0,,
1 Bedroom Apartment,645000.0,1.0,1.0,,,,
3 Bedroom Apartment,1050000.0,3.0,25.0,1.0,,,
3 Bedroom House,630000.0,3.0,1.0,2.0,632.0,,
3 Bedroom House,620000.0,3.0,2.0,2.0,500.0,,
2 Bedroom Apartment,690000.0,2.0,1.0,1.0,,,
12 Bedroom Apartment,1300000.0,12.0,12.0,,437.0,,
6 Bedroom House,1150000.0,6.0,4.0,,667.0,,
1.5 Bedroom Apartment,775000.0,15.0,15.0,,,,
5 Bedroom House,2850000.0,5.0,5.0,3.0,,,
4 Bedroom House,490000.0,4.0,1.0,,,,
2 Bedroom House,2800000.0,2.0,2.0,,,,
4 Bedroom House,690000.0,4.0,2.0,,565.0,,
2 Bedroom Townhouse,400000.0,2.0,1.0,1.0,260538.0,,
2 Bedroom Apartment,730000.0,2.0,1.0,1.0,,,
3 Bedroom House,3650000.0,3.0,3.0,5.0,,,
2 Bedroom Townhouse,1199000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,1595000.0,2.0,1.0,1.0,,,
3 Bedroom Apartment,2074000.0,3.0,2.0,2.0,,,
2 Bedroom Apartment,1595000.0,2.0,1.0,1.0,,,
3 Bedroom Townhouse,700000.0,3.0,1.0,,240.0,,
3 Bedroom Apartment,6250000.0,3.0,3.0,4.0,,,
2 Bedroom Townhouse,3749000.0,2.0,2.0,3.0,,,
3 Bedroom Townhouse,1700000.0,3.0,2.0,2.0,156.0,,
3 Bedroom Apartment,1090000.0,3.0,3.0,1.0,,,
5 Bedroom House,8950000.0,5.0,5.0,5.0,640.0,,
1 Bedroom Apartment,970000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,890000.0,2.0,2.0,1.0,,,
2 Bedroom Townhouse,859000.0,2.0,1.0,2.0,,,
4 Bedroom House,2950000.0,4.0,3.0,2.0,1367.0,,
3 Bedroom Townhouse,2550000.0,3.0,2.0,4.0,18976.0,,
2 Bedroom Apartment,1080000.0,2.0,1.0,1.0,,,
3 Bedroom Apartment,1795000.0,3.0,2.0,2.0,,,
3 Bedroom Townhouse,1550000.0,3.0,2.0,2.0,7771.0,,
3 Bedroom Apartment,3850000.0,3.0,2.0,2.0,,,
2 Bedroom Townhouse,830000.0,2.0,1.0,1.0,,,
3 Bedroom House,790000.0,3.0,1.0,2.0,240.0,,
3 Bedroom House,2500000.0,3.0,2.0,,1012.0,,
2 Bedroom Apartment,1195000.0,2.0,1.0,1.0,,800 Lee Barnes Boulevard Dolphin Coast Ballito,
4 Bedroom House,1395000.0,4.0,2.0,,2726.0,10 East Avenue,
1 Bedroom Apartment,300000.0,1.0,1.0,,,,
4 Bedroom House,2800000.0,4.0,35.0,2.0,1468.0,,
2 Bedroom Apartment,599000.0,2.0,2.0,2.0,,9 Canterbury Drive,
1.5 Bedroom Apartment,775000.0,15.0,1.0,,,"806 Mangrove Beach Centre, 91 Somtseu Road",
1.5 Bedroom Apartment,795000.0,15.0,1.0,1.0,,,
4 Bedroom House,2350000.0,4.0,35.0,4.0,909.0,,
