Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom Townhouse,865000.0,2.0,1.0,1.0,131.0,"27 Shangri La, 17 Lambert Road",
2 Bedroom House,220000.0,2.0,1.0,,,,
3 Bedroom Townhouse,2047500.0,3.0,2.0,2.0,2448.0,7 African Street,
9 Bedroom House,690000.0,9.0,3.0,,257.0,,
4 Bedroom House,750000.0,4.0,,,467.0,,
8 Bedroom House,2900000.0,8.0,5.0,4.0,1152.0,,
5 Bedroom House,2090000.0,5.0,3.0,4.0,1027.0,,
2 Bedroom House,300000.0,2.0,1.0,,,76634 East Bank Ext 7 Bufflo Flats East London 5201,
3 Bedroom House,2400000.0,3.0,2.0,2.0,688.0,,
3 Bedroom House,2550000.0,3.0,2.0,4.0,756.0,,
3 Bedroom House,1050000.0,3.0,2.0,2.0,745.0,6429 Sea Breeze Drive,
4 Bedroom House,3495000.0,4.0,3.0,2.0,1269.0,,
3 Bedroom House,1590000.0,3.0,1.0,2.0,949.0,,
3 Bedroom House,750000.0,3.0,2.0,3.0,216.0,11 6th Avenue,
3 Bedroom House,,3.0,1.0,2.0,317.0,,
2 Bedroom Townhouse,1695000.0,2.0,2.0,2.0,209.0,,
4 Bedroom House,3200000.0,4.0,4.0,8.0,2116.0,,
2 Bedroom Apartment,550000.0,2.0,1.0,1.0,,,
5 Bedroom House,2300000.0,5.0,5.0,2.0,1007.0,,
2 Bedroom Apartment,1395000.0,2.0,2.0,1.0,,"1006 Marine Towers, 17 Marine Drive",
2 Bedroom House,900000.0,2.0,1.0,1.0,300.0,,
3 Bedroom House,1950000.0,3.0,2.0,5.0,1013.0,,
5 Bedroom House,1780000.0,5.0,3.0,2.0,934.0,4 Plumbago Street,
3 Bedroom Townhouse,1300000.0,3.0,2.0,2.0,150.0,24 Tobias Crescent,
4 Bedroom House,2350000.0,4.0,2.0,3.0,906.0,,
3 Bedroom Townhouse,1380000.0,3.0,2.0,4.0,,,
3 Bedroom Townhouse,1199000.0,3.0,2.0,2.0,,,
7 Bedroom House,3595000.0,7.0,75.0,6.0,1011.0,,
3 Bedroom House,1050000.0,3.0,2.0,2.0,745.0,6429 Sea Breeze Drive,
4 Bedroom House,4295000.0,4.0,3.0,4.0,329.0,,
3 Bedroom House,2195000.0,3.0,25.0,1.0,428.0,,
3 Bedroom Apartment,1695000.0,3.0,15.0,1.0,,,
4 Bedroom House,1450000.0,4.0,3.0,3.0,595.0,,
2 Bedroom Apartment,1055000.0,2.0,1.0,,,,
3 Bedroom House,800000.0,3.0,2.0,,,,
3 Bedroom House,550000.0,3.0,1.0,3.0,421.0,,
3 Bedroom Apartment,2280000.0,3.0,2.0,1.0,,,
2 Bedroom Townhouse,990000.0,2.0,2.0,1.0,202.0,,
3 Bedroom House,1397500.0,3.0,1.0,6.0,,,
3 Bedroom House,1650000.0,3.0,2.0,,616.0,,
3 Bedroom House,2150000.0,3.0,3.0,,,,
2 Bedroom House,350000.0,2.0,1.0,6.0,390.0,,
5 Bedroom House,4995000.0,5.0,5.0,6.0,2663.0,,
5 Bedroom House,1995000.0,5.0,25.0,3.0,992.0,,
4 Bedroom House,695000.0,4.0,1.0,1.0,329.0,7 Middle Terrace,
2 Bedroom Townhouse,965000.0,2.0,1.0,2.0,3924.0,,
3 Bedroom House,1329999.0,3.0,2.0,2.0,280.0,39 New Horizon Village,
3 Bedroom House,1329999.0,3.0,2.0,2.0,280.0,35 New Horizon Village,
2 Bedroom House,989999.0,2.0,1.0,2.0,280.0,29 New Horizon Village,
3 Bedroom House,1029999.0,3.0,1.0,2.0,280.0,33 New Horizon Village,
2 Bedroom House,929999.0,2.0,1.0,2.0,280.0,31 New Horizon Village,
3 Bedroom Apartment,2280000.0,3.0,2.0,1.0,,,
2 Bedroom House,350000.0,2.0,1.0,3.0,280.0,,
5 Bedroom House,4500000.0,5.0,2.0,,,,
3 Bedroom Townhouse,1245000.0,3.0,2.0,5.0,168.0,,
3 Bedroom House,2000000.0,3.0,2.0,2.0,,,
5 Bedroom House,3100000.0,5.0,3.0,5.0,1849.0,,
5 Bedroom House,1900000.0,5.0,3.0,2.0,1260.0,,
4 Bedroom House,3695000.0,4.0,4.0,2.0,1228.0,,
1 Bedroom Apartment,495000.0,1.0,1.0,1.0,,,
3 Bedroom House,2000000.0,3.0,2.0,2.0,,,
4 Bedroom Apartment,1200000.0,4.0,25.0,4.0,,,
8 Bedroom House,6995000.0,8.0,55.0,5.0,791.0,,
3 Bedroom House,500000.0,3.0,1.0,4.0,325.0,,
2 Bedroom Apartment,595000.0,2.0,2.0,,,,
5 Bedroom House,4380000.0,5.0,5.0,2.0,1528.0,,
4 Bedroom House,750000.0,4.0,1.0,1.0,300.0,,
2 Bedroom Apartment,873000.0,2.0,1.0,1.0,,Greenleaf Estate Restitution Road,
4 Bedroom House,12000000.0,4.0,35.0,8.0,1498.0,,
2 Bedroom House,825000.0,2.0,1.0,,240.0,,
4 Bedroom House,2000000.0,4.0,2.0,10.0,993.0,,
3 Bedroom House,1400000.0,3.0,3.0,2.0,,67 Paulet Street,
2 Bedroom House,949999.0,2.0,2.0,,240.0,,
21 Bedroom Apartment,5000000.0,21.0,10.0,10.0,4267.0,". ., 40-44 Park Road",
3 Bedroom Townhouse,1395000.0,3.0,2.0,1.0,,,
2 Bedroom House,160000.0,2.0,1.0,,204.0,,
1 Bedroom Apartment,900000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,370000.0,2.0,1.0,,,21 Hutton Street,
2 Bedroom Apartment,1595000.0,2.0,2.0,1.0,,,
3 Bedroom House,950000.0,3.0,2.0,4.0,628.0,,
House,2500000.0,,2.0,,1804.0,31 Paulet Street,
24 Bedroom House,7800000.0,24.0,4.0,,,,
5 Bedroom House,1298000.0,5.0,2.0,3.0,,,
3 Bedroom House,795000.0,3.0,2.0,,,,
2 Bedroom House,530000.0,2.0,1.0,4.0,,,
8 Bedroom House,3890000.0,8.0,8.0,,1025.0,,
1 Bedroom Apartment,250000.0,1.0,1.0,,,,
3 Bedroom House,460000.0,3.0,,1.0,,,
